Universidad,Tipo,Especialidad.SubEspecialidad,Modalidad,Serum,SNCDS,X1er.Niv.,X5to.Sup.,Prom.Pre,ENAM,Examen,Factor.A.,Nota.Final,Sede
UNMSM,Esp.,OTORRINOLARINGOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,2.888,NA,39.6,21.2,77.688,Hospital Nacional Daniel Alcides Carrión
URP,Esp.,MEDICINA INTENSIVA,Libre,6,NA,NA,NA,1.656,NA,43.6,15.2,66.456,Hospital Alberto Sabogal Sologuren
USMP,Esp.,NEUROLOGIA,Libre,10,NA,NA,NA,1.844,1.5,48.4,15.2,76.944,NA
CENTRO 1,Sub.,GINECOLOGIA ONCOLOGICA,Libre,10,NA,NA,NA,1.936,1,67.2,5.6,85.736,Hospital Nacional Edgardo Rebagliati Martins
UNFV,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.82,1.5,52.8,15.2,81.32,Instituto Nacional de Salud del Niño
USMP,Esp.,PEDIATRIA,Libre,6,NA,NA,NA,1.579,NA,36.8,15.2,59.579,NA
UNCP,Esp.,MEDICINA INTENSIVA,Libre,10,NA,2,NA,1.778,1,44.8,15.2,74.778,Hospital Nacional Ramiro Prialé Prialé - IV Huancayo
URP,Esp.,PSIQUIATRIA,Libre,8,NA,NA,1,1.888,2,57.6,15.2,85.688,Hospital Nacional Edgardo Rebagliati Martins
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,1,1,1.945,1,48.4,15.2,76.545,Hospital Nacional Hipólito Unanue
UNMSM,Esp.,ENDOCRINOLOGIA,Libre,10,NA,NA,1,1.878,1.5,54.8,15.2,84.378,Hospital Nacional Daniel Alcides Carrión
UPCH,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,1.53,NA,38,15.2,62.73,NA
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.979,1.5,51.6,15.2,80.279,Hospital Nacional Docente Madre Niño San Bartolome
UPLA,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,1,NA,3.54,NA,39.2,15.2,66.94,Hospital Regional Docente Materno Infantil - El Carmen Huancayo
CENTRO 2,Esp.,NEONATOLOGIA,Libre,8,NA,NA,1,1.86,1,52,15.2,79.06,Instituto Nacional Materno Perinatal
UPLA,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,3,NA,1.694,1,37.2,15.2,66.094,NA
UNSLGI,Esp.,RADIOLOGIA,Libre,8,NA,NA,1,1.65,1,41.2,15.2,68.05,NA
UNSA,Esp.,ANATOMIA PATOLOGICA,Libre,6,NA,NA,NA,1.771,1,36.8,15.2,60.771,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,6,NA,NA,NA,1.649,1,36.4,15.2,60.249,NA
UNMSM,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.694,NA,48,15.2,74.894,Hospital Victor Larco Herrera
CENTRO 1,Sub.,NEONATOLOGIA,Libre,10,NA,NA,NA,1.681,1,61.6,5.6,79.881,Hospital Nacional Edgardo Rebagliati Martins
UPCH,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,NA,1.85,1.5,58,15.2,86.55,Instituto Nacional de Oftalmología
UPCH,Esp.,NEUROCIRUGIA,Libre,8,NA,NA,NA,1.867,1.5,47.6,15.2,74.167,NA
UNMSM,Esp.,PATOLOGIA CLINICA,Libre,10,NA,NA,NA,1.911,1,48.8,15.2,76.911,Hospital Alberto Sabogal Sologuren
USP,Esp.,PEDIATRIA,Libre,8,NA,NA,1,2.102,1,44.4,15.2,71.702,Hospital Regional Eleazar Guzman Barrón - Chimbote
URP,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.634,1.5,40,15.2,68.334,NA
UNPRG,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.703,1,43.6,15.2,71.503,NA
UNPRG,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.97,1,52,15.2,78.17,Hospital Regional Lambayeque
UPAO,Esp.,CIRUGIA GENERAL,Libre,10,NA,2,NA,2.23,NA,38.4,15.2,67.83,NA
USMP,Esp.,DERMATOLOGIA,Libre,6,NA,NA,NA,1.661,NA,57.2,15.2,80.061,Hospital Nacional Ramiro Prialé Prialé - IV Huancayo
CENTRO 3,Esp.,MEDICINA FAMILIAR Y COMUNITARIA,Libre,8,NA,NA,NA,1.93,NA,24.4,15.2,49.53,NA
URP,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.666,NA,39.6,15.2,66.466,NA
UCSM,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.644,NA,49.6,15.2,74.444,NA
USMP,Esp.,NEUMOLOGIA,Libre,8,NA,NA,NA,1.778,1,31.6,15.2,57.578,NA
URP,Esp.,MEDICINA DE EMERGENCIAS Y DESASTRES,Libre,10,NA,NA,1,1.855,1.5,52.4,15.2,81.955,Hospital Nacional Edgardo Rebagliati Martins
URP,Esp.,RADIOLOGIA,Libre,0,4,4,NA,3.485,NA,NA,15.2,NA,NA
UCSUR,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.677,NA,41.6,15.2,68.477,NA
CENTRO 1,Sub.,NEONATOLOGIA,Libre,6,NA,NA,1,1.918,1,60,5.6,75.518,Hospital Nacional Cayetano Heredia
URP,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.707,NA,42.4,15.2,69.307,NA
UPAO,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.755,NA,35.6,15.2,60.555,NA
UNSA,Esp.,NEFROLOGIA,Libre,6,NA,NA,NA,1.792,1.5,41.6,15.2,66.092,NA
UNFV,Esp.,DERMATOLOGIA,Libre,10,NA,NA,1,1.793,1.5,48.8,15.2,78.293,NA
UNMSM,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,8,NA,4,NA,1.668,NA,31.6,21.2,66.468,NA
CENTRO 1,Sub.,PATOLOGIA ONCOLOGICA,Libre,10,NA,3,NA,4.7,NA,45.6,5.6,68.9,Instituto Nacional de Enfermedades Neoplásicas
UPCH,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,8,NA,NA,NA,2.001,2,57.2,15.2,84.401,Hospital Nacional Cayetano Heredia
UNMSM,Esp.,DERMATOLOGIA,Libre,10,NA,NA,NA,3.778,NA,46.8,15.2,75.778,NA
UCSM,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,0,4,3,NA,3.35,NA,34,15.2,59.55,NA
UNFV,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,1,1.749,1.5,49.2,15.2,78.649,Hospital Central PNP
CENTRO 1,Esp.,MEDICINA FAMILIAR Y COMUNITARIA,Libre,6,NA,NA,NA,1.768,NA,40.8,15.2,63.768,Policlínico Juan José Rodríguez Lazo
UNFV,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,NA,1.717,NA,35.6,15.2,62.517,NA
CENTRO 3,Sub.,CIRUGIA DE RETINA Y VITREO,Libre,10,NA,NA,NA,1.79,NA,42.4,5.6,59.79,NA
UNMSM,Esp.,ANATOMIA PATOLOGICA,Libre,8,NA,NA,NA,1.775,NA,45.6,15.2,70.575,NA
UNPRG,Esp.,ANATOMIA PATOLOGICA,Libre,8,NA,NA,NA,1.783,1,28.8,15.2,54.783,NA
UNMSM,Esp.,MEDICINA INTENSIVA,Libre,8,NA,NA,NA,1.706,NA,34.4,15.2,59.306,NA
UNFV,Esp.,NEFROLOGIA,Libre,10,NA,NA,NA,1.85,NA,53.2,15.2,80.25,Hospital Nacional Guillermo Almenara Irigoyen
UNT,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.779,1,49.6,15.2,77.579,Hospital Belén de Trujillo
URP,Esp.,PSIQUIATRIA,Libre,8,NA,NA,NA,1.803,1,34.4,15.2,60.403,NA
URP,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.79,1,50.8,15.2,76.79,Hospital Nacional Daniel Alcides Carrión
UPCH,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,NA,NA,1.783,1.5,48.4,15.2,76.883,Hospital José Agurto Tello de Chosica
CENTRO 1,Esp.,RADIOTERAPIA,Libre,8,NA,NA,NA,1.92,1.5,50,15.2,76.62,ONCOSALUD SAC
UNMSM,Esp.,NEUROCIRUGIA,Libre,6,NA,1,1,1.804,1,41.6,15.2,67.604,NA
UNSAAC,Esp.,ANESTESIOLOGIA,Libre,6,NA,3,NA,3.411,NA,46.4,15.2,74.011,NA
UNT,Esp.,CIRUGIA ONCOLOGICA,Libre,8,NA,NA,NA,1.559,NA,26.8,15.2,51.559,NA
UNC,Esp.,CIRUGIA GENERAL,Libre,10,NA,3,NA,1.544,NA,40.4,15.2,70.144,Hospital Regional Docente Cajamarca
USMP,Esp.,MEDICINA INTERNA,Libre,6,NA,NA,NA,1.673,1,48,15.2,71.873,Hospital Alberto Sabogal Sologuren
UNPRG,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.81,1.5,54.4,15.2,82.91,Hospital Nacional Almanzor Aguinaga Asenjo - Chiclayo
UPSJB,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.838,NA,34.4,15.2,61.438,Centro de Salud Portada De Manchay DIRIS Lima Sur
CENTRO 1,Sub.,CARDIOLOGIA PEDIATRICA,Libre,10,NA,NA,NA,1.796,NA,50.4,5.6,67.796,NA
USMP,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.602,NA,37.6,15.2,62.402,NA
UNPRG,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,10,NA,NA,NA,1.829,1,44.4,15.2,72.429,NA
CENTRO 1,Sub.,"CIRUGIA DE COLON,  RECTO Y ANO",Libre,10,NA,NA,1,1.862,1.5,56,5.6,75.962,NA
CENTRO 2,Esp.,INMUNOLOGIA Y ALERGIA,Libre,8,NA,NA,1,1.875,NA,36.4,15.2,62.475,NA
UNMSM,Esp.,CIRUGIA PEDIATRICA,Libre,10,NA,NA,1,1.95,1,44.4,15.2,73.55,NA
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.62,1,36,15.2,63.82,NA
URP,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.78,NA,40,15.2,66.98,NA
UNPRG,Esp.,GERIATRIA,Libre,8,NA,NA,NA,1.8,1,45.2,15.2,71.2,Hospital Nacional Almanzor Aguinaga Asenjo - Chiclayo
CENTRO 1,Sub.,GINECOLOGIA ONCOLOGICA,Libre,10,NA,3,NA,3.636,NA,49.6,5.6,71.836,NA
USMP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.387,NA,27.2,15.2,53.787,NA
UPCH,Esp.,CIRUGIA PLASTICA,Libre,8,NA,NA,1,2.02,2,59.2,15.2,87.42,NA
UNA,Esp.,RADIOLOGIA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/PUNO,8,2,NA,NA,3.128,NA,34.4,21.2,68.728,NA
UPCH,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.955,1.5,45.6,15.2,72.255,NA
UNP,Esp.,GINECOLOGIA Y OBSTETRICIA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/PIURA,10,NA,1,1,1.85,NA,34,21.2,69.05,Hospital II Sullana Piura
UNMSM,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.823,1.5,54.4,15.2,82.923,Hospital Nacional Guillermo Almenara Irigoyen
UNMSM,Esp.,MEDICINA INTENSIVA,Libre,10,NA,NA,NA,1.715,NA,39.2,15.2,66.115,Hospital Nacional Daniel Alcides Carrión
UNSA,Esp.,GASTROENTEROLOGIA,Libre,8,NA,1,NA,1.664,1,49.6,15.2,76.464,Hospital Regional Honorio Delgado Espinoza - Arequipa
UNMSM,Esp.,PSIQUIATRIA,Libre,6,NA,NA,NA,1.609,1.5,46.4,15.2,70.709,NA
UNPRG,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.888,NA,39.6,15.2,64.688,NA
UNMSM,Esp.,ENDOCRINOLOGIA,Libre,6,NA,NA,NA,1.881,1,35.6,15.2,59.681,NA
UPCH,Esp.,GERIATRIA,Libre,6,NA,NA,NA,1.659,1.5,26,15.2,50.359,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.668,1,33.6,15.2,59.468,NA
UPCH,Esp.,NEFROLOGIA,Libre,10,NA,1,NA,1.706,1,43.6,15.2,72.506,NA
UNMSM,Esp.,NEFROLOGIA,Libre,10,NA,NA,NA,1.78,1.5,51.6,15.2,80.08,Hospital Nacional Guillermo Almenara Irigoyen
UNSA,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,1,2.43,1,48,15.2,77.63,Hospital Regional Honorio Delgado Espinoza - Arequipa
UPCH,Esp.,CIRUGIA ONCOLOGICA,Libre,10,NA,NA,NA,1.801,1.5,50.8,15.2,79.301,NA
UNMSM,Esp.,OTORRINOLARINGOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,NA,NA,1.698,NA,31.2,21.2,64.098,NA
USMP,Esp.,CIRUGIA ONCOLOGICA,Libre,10,NA,NA,NA,2.066,1.5,45.6,15.2,74.366,NA
NORTE,Esp.,MEDICINA FAMILIAR Y COMUNITARIA,Libre,6,NA,NA,NA,1.375,NA,33.6,15.2,56.175,NA
URP,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.96,NA,51.6,15.2,78.76,Hospital Nacional Docente Madre Niño San Bartolome
CENTRO 1,Sub.,GINECOLOGIA ONCOLOGICA,Libre,8,NA,NA,NA,1.71,NA,NA,5.6,NA,NA
URP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.899,1,51.2,15.2,79.299,Hospital Vitarte
URP,Esp.,CARDIOLOGIA,Libre,10,NA,NA,NA,2.018,1.5,47.6,15.2,76.318,NA
UNMSM,Esp.,RADIOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,6,NA,4,NA,1.685,NA,38.4,21.2,71.285,Hospital Nacional Arzobispo Loayza
UNMSM,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.921,2,60,15.2,89.121,Hospital Nacional Dos de Mayo
UNT,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.719,1,53.2,15.2,81.119,NA
UPCH,Esp.,ENDOCRINOLOGIA,Libre,8,NA,NA,NA,1.953,1,40.8,15.2,66.953,NA
UCSM,Esp.,ANATOMIA PATOLOGICA,Libre,6,NA,NA,NA,1.744,1,35.2,15.2,59.144,NA
UNMSM,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.859,1.5,48.4,15.2,76.959,Hospital Victor Larco Herrera
URP,Esp.,UROLOGIA,Libre,8,NA,NA,1,2.151,2,53.6,15.2,81.951,Hospital Nacional Adolfo Guevara Velasco HN Sur Este Cusco
UPT,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,1.627,1.5,49.2,15.2,75.527,Hospital Daniel Alcides Carrión de Tacna
UNMSM,Esp.,OFTALMOLOGIA,Cautiva/Ejercito,8,NA,3,1,1.847,1.5,49.6,21.2,86.147,Hospital Militar Central
UNFV,Esp.,RADIOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,2,NA,4,NA,3.23,NA,26.8,21.2,57.23,NA
UPLA,Esp.,MEDICINA ONCOLOGICA,Libre,8,NA,NA,NA,3.133,NA,29.2,15.2,55.533,NA
URP,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.926,1,45.2,15.2,73.326,NA
USMP,Esp.,NEUROLOGIA,Libre,10,NA,NA,NA,1.831,1,44,15.2,72.031,NA
UPCH,Esp.,ENDOCRINOLOGIA,Libre,10,NA,NA,1,1.707,1.5,50.4,15.2,79.807,NA
UNMSM,Esp.,PSIQUIATRIA,Libre,6,NA,NA,1,1.964,1.5,52.4,15.2,78.064,Hospital Hermilio Valdizan
URP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.667,1,35.6,15.2,63.467,NA
UNT,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.753,1.5,54.4,15.2,80.853,Hospital Belén de Trujillo
UNMSM,Esp.,MEDICINA DE ENFERMEDADES INFECCIOSAS Y TROPIC,LLEiSbre,10,NA,NA,NA,1.98,2,53.6,15.2,82.78,Hospital Nacional Guillermo Almenara Irigoyen
UNCP,Esp.,PEDIATRIA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/JUNIN,6,NA,4,NA,1.839,1,34.4,21.2,68.439,NA
UNFV,Esp.,MEDICINA INTERNA,Libre,6,NA,NA,NA,1.65,NA,25.6,15.2,48.45,NA
UNPRG,Esp.,CARDIOLOGIA,Cautiva/ESSALUD,10,NA,NA,1,3.689,NA,47.2,21.2,83.089,Hospital Nacional Almanzor Aguinaga Asenjo - Chiclayo
USMP,Esp.,DERMATOLOGIA,Libre,10,NA,NA,1,1.873,1.5,53.6,15.2,83.173,NA
UNFV,Esp.,HEMATOLOGIA,Libre,8,NA,NA,NA,1.699,NA,38.4,15.2,63.299,Hospital Alberto Sabogal Sologuren
UNSA,Esp.,ANATOMIA PATOLOGICA,Libre,10,NA,NA,NA,1.728,NA,32,15.2,58.928,NA
UNMSM,Esp.,DERMATOLOGIA,Libre,8,NA,NA,1,1.985,2,56.4,15.2,84.585,NA
UNMSM,Esp.,NEUROLOGIA,Libre,10,NA,NA,NA,2.048,2,58,15.2,87.248,Instituto Nacional de Ciencias Neurológicas
URP,Esp.,RADIOLOGIA,Libre,10,NA,NA,NA,1.68,NA,46.4,15.2,73.28,NA
UPAO,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,1,1.703,1,44,15.2,72.903,NA
UPCH,Esp.,RADIOLOGIA,Libre,8,NA,NA,NA,1.601,1,52.4,15.2,78.201,Hospital Regional de Huacho
UPAO,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.624,NA,30.8,15.2,57.624,NA
UNSA,Esp.,RADIOLOGIA,Libre,0,NA,4,NA,2.991,NA,38,15.2,60.191,NA
UNSLGI,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,4.425,NA,37.6,15.2,65.225,NA
USMP,Esp.,RADIOLOGIA,Libre,8,NA,NA,NA,1.641,1.5,54,15.2,80.341,Hospital Nacional Guillermo Almenara Irigoyen
URP,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,10,NA,NA,1,1.958,2,52,15.2,82.158,Hospital Nacional Daniel Alcides Carrión
UNP,Esp.,PEDIATRIA,Libre,10,NA,2,1,2.38,NA,44.8,15.2,75.38,Hospital Cayetano Heredia Piura
USMP,Esp.,RADIOLOGIA,Libre,10,NA,NA,NA,1.667,NA,33.2,15.2,60.067,NA
URP,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.621,NA,34,15.2,58.821,NA
CENTRO 1,Sub.,GINECOLOGIA ONCOLOGICA,Libre,10,NA,NA,NA,1.806,1,51.2,5.6,69.606,NA
UNFV,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.653,NA,26.8,15.2,51.653,NA
UPCH,Esp.,GASTROENTEROLOGIA,Libre,8,NA,NA,NA,1.796,1.5,57.2,15.2,83.696,NA
UNT,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.537,1,47.6,15.2,75.337,Hospital Belén de Trujillo
UNMSM,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,10,NA,NA,NA,1.723,1,40.4,15.2,68.323,NA
UNMSM,Esp.,GASTROENTEROLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,NA,NA,3.488,NA,35.6,21.2,70.288,Instituto Nacional de Salud del Niño
UNP,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,NA,2.007,1.5,43.2,15.2,71.907,NA
CENTRO 3,Sub.,CIRUGIA DE RETINA Y VITREO,Libre,10,NA,NA,1,1.988,1.5,60.8,5.6,80.888,NA
UNFV,Esp.,NEUROLOGIA,Libre,10,NA,NA,NA,1.953,1.5,48.8,15.2,77.453,Instituto Nacional de Ciencias Neurológicas
USP,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.615,NA,32,15.2,58.815,NA
UPAO,Esp.,ANESTESIOLOGIA,Libre,8,NA,1,NA,1.716,NA,31.6,15.2,57.516,NA
UNSLGI,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,1,1.974,NA,40.4,15.2,68.574,NA
UNSLGI,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,6,NA,NA,NA,1.835,1,40,15.2,64.035,NA
USMP,Esp.,OFTALMOLOGIA,Libre,6,NA,NA,NA,1.846,1,59.6,15.2,83.646,Hospital Nacional Sergio Bernales
UNMSM,Esp.,PEDIATRIA,Libre,8,NA,NA,1,2.079,1.5,57.2,15.2,84.979,Hospital Nacional Edgardo Rebagliati Martins
UNSAAC,Esp.,PEDIATRIA,Libre,8,NA,NA,1,2.385,1.5,36,15.2,64.085,NA
CENTRO 3,Esp.,NEONATOLOGIA,Libre,10,NA,NA,NA,1.715,NA,47.2,15.2,74.115,NA
URP,Esp.,MEDICINA DE EMERGENCIAS Y DESASTRES,Libre,10,NA,3,NA,2.12,NA,46.4,15.2,76.72,Hospital Nacional Edgardo Rebagliati Martins
UPCH,Esp.,NEUROCIRUGIA,Libre,8,NA,NA,NA,1.728,1,42,15.2,67.928,Hospital San Juan Bautista Huaral
CENTRO 1,Sub.,GINECOLOGIA ONCOLOGICA,Libre,10,NA,NA,NA,3.315,NA,58.4,5.6,77.315,NA
UPCH,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,NA,NA,1.558,NA,52,15.2,78.758,Hospital Regional de Salud Cusco DIRESA Cusco (Ex H. Apoyo Departamental)
UPAO,Esp.,CARDIOLOGIA,Cautiva/ESSALUD,10,0,4,NA,3.476,NA,19.2,21.2,57.876,NA
USMP,Esp.,NEUROLOGIA,Libre,8,NA,NA,NA,1.795,1.5,42,15.2,68.495,NA
